,楼盘名称,经度,纬度,总价,单价,待售,期房在售,售罄,现房在售,尾盘,其他,刚需房,学校,改善房,品牌开发商,大型社区,轨交房,大型超市,公寓,商场,公园,投资地产,婚房,低密度,公交枢纽,低总价,住宅,别墅_属性,商住,店铺,购物中心,商业街,其他,南关,朝阳,净月,绿园,二道,高新,经开,宽城,汽开,长春周边,高层,花园洋房,别墅_建筑类型,多层,产权年限,容积率,绿化率,居住人数,在建中,已竣工,已封顶,规划中,物业费,车位数,车位比,1室,2室,3室,4室,5室,6室,7室,别墅_户型,商户,开盘年份,开盘月份,开盘日,交盘年份,交盘月份,交盘日,站点数目,平均距离,平均线路数目,平均打分,平均轨道数目
41,恒大檀溪郡,125.313642,43.898338,4414511.693,9700,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,70,1.499,0.35,972,1,0,0,0,1,1322,0,1,4,8,1,0,0,0,0,0,2017,11,18,2018,11,31,12,1858.833333,4.916666667,4.916666667,0
43,恒大都市广场,125.386336,43.911297,2677336.437,10000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,3.38,0.39,2000,1,0,0,0,1,1500,0,0,2,3,0,0,0,0,0,0,2016,12,10,2017.000207,3.000300652,30.9999675,13,1821.923077,4.538461538,4.615384615,0.076923077
44,阳光硅谷,125.313642,43.898338,1652251.425,9681.839832,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.99935733,1.600231843,0.466617421,687,1,0,0,0,0.258827103,182,1.660282895,0,0,0,0,0,0,0,0,7,2015.399158,8.701123884,14.14667182,2016.104722,7.595375521,24.00166286,12,1142.75,1.833333333,2,0.166666667
46,阳光硅谷,125.313642,43.898338,1652251.425,9681.839832,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.99935733,1.600231843,0.466617421,687,1,0,0,0,0.258827103,182,1.660282895,0,0,0,0,0,0,0,0,7,2015.467676,8.632605474,13.9753758,2016.131356,7.559863808,23.99278493,12,1142.75,1.833333333,2,0.166666667
48,阳光硅谷,125.313642,43.898338,1652251.425,9669.184148,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.99935733,1.600231843,0.466617421,687,1,0,0,0,0.258827103,182,1.660282895,0,0,0,0,0,0,0,0,7,2015.399158,8.701123884,14.14667182,2016.104722,7.595375521,24.00166286,12,1142.75,1.833333333,2,0.166666667
50,阳光硅谷,125.313642,43.898338,1652251.425,9669.184148,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.99935733,1.600231843,0.466617421,687,1,0,0,0,0.258827103,182,1.660282895,0,0,0,0,0,0,0,0,7,2015.467676,8.632605474,13.9753758,2016.131356,7.559863808,23.99278493,12,1142.75,1.833333333,2,0.166666667
52,中铁城,125.157157,43.859938,3096742.821,8000,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,70,1.7,0.35,7900,1,0,0,0,1,4200,0,0,7,8,1,0,0,0,0,0,2018,3,17,2016.952838,8.491916796,29.64441088,10,1330.9,1.6,1.6,0
53,新星宇和润上邻,125.313596,43.801805,4325870.1,11500,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,70,1.69,0.33,3000,1,0,0,0,1,2400,0,0,6,15,0,0,0,0,0,0,2018,3,20,2018,10,30,14,1557,2.214285714,2.357142857,0.142857143
54,澳海富春山居,125.313642,43.898338,2361999.766,11461.16193,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,70.00000993,2.331449658,0.405723072,1175.449463,1,0,0,0,0.901785655,1940,0.382039656,0,0,0,0,0,0,0,6,0,2016.278295,5.576947544,17.06856978,2017.457975,8.054022205,28.63592191,8,1809,2.125,2.125,0
55,恒大御景,125.315949,43.820709,3881837.299,13000,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70,2.5,0.41,2959,0,1,0,0,1,877,0,0,0,0,1,1,0,0,0,0,2015,11,23,2017,12,31,18,1798.722222,4.777777778,5.222222222,0.388888889
56,保利溪湖林语,125.313642,43.898338,2912809.487,12386.28044,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,70.00000079,1.601631981,0.366772855,1388,1,0,0,0,2,1428,1,0,2,4,0,0,0,0,3,0,2016.513029,7.676665894,19.99431381,2017.869389,9.563208247,30.593792,12,2054.75,2,2,0
57,大众置业净月深水湾,125.313642,43.898338,4292378.888,9500,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,70.00000631,1.600598214,0.331377602,854,1,0,0,0,0.2212313,1105,0,0,1,5,3,2,1,0,0,0,2018,5,21,2019,6,30,14,1658.071429,2.928571429,3.071428571,0.142857143
58,中国铁建西派府,125.215436,43.836061,3816130.232,13000,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,70,2.7,0.31,1148,1,0,0,0,0.213070419,1586,0,0,0,3,0,0,0,0,0,0,2018,3,20,2019,10,24,12,809.3333333,4.083333333,4.083333333,0
60,天富御苑香赞,125.385311,43.941451,4130244.301,7600,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,2.62,0.31,1363,1,0,0,0,1,1128,0,1,1,0,0,0,0,0,0,0,2017,10,1,2018,10,31,12,1940.083333,2.833333333,2.833333333,0
61,华大城,125.339387,43.965611,421282.1093,6280.64924,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,70.00000002,3.259988796,0.473,3000,1,0,0,0,0,470,0,3,16,2,0,0,0,0,0,0,2017.243757,6.408608651,19.35406731,2019,12,30,13,1613.846154,2.923076923,3.076923077,0.153846154
62,吴中桃花源,125.23191,43.949725,3832832.215,13000,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,70,1.7,0.32,1762,1,0,0,0,3,400,0,0,2,2,0,0,0,0,1,0,2018,1,15,2018,12,31,12,1752,1.5,1.5,0
63,车城万达广场,125.328923,43.920649,3549432.891,9000,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,70,3.49,0.43,3000,1,0,0,0,1,2000,0,0,1,2,0,0,0,0,0,0,2017,11,20,2019,10,30,12,1556,3.666666667,3.666666667,0
65,垠禄倚澜观邸,125.272506,43.825269,350000,13500,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,50,1.5,0.4,470,0,1,0,0,1,257,0,0,4,9,0,0,0,0,0,1,2017,5,31,2014,3,29,13,1706,2.076923077,2.230769231,0.153846154
66,垠禄新界,125.313642,43.898338,1760000,11750,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,7.8,0.253,228,0,1,0,0,2,498,1,0,0,1,4,0,0,0,0,1,2017,4,2,2017,12,31,17,1672.823529,4.294117647,4.588235294,0.294117647
68,垠禄新界,125.313642,43.898338,1760000,12000,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,7.8,0.253,228,0,1,0,0,2,498,1,0,0,1,4,0,0,0,0,1,2017,4,2,2017,12,31,17,1672.823529,4.294117647,4.588235294,0.294117647
70,普鲁斯小镇,125.786564,43.998382,3411003.909,5500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,70,1.02,0.35,2000,1,0,0,0,2,1,1.999521444,1,3,1,0,0,0,0,3,0,2017,4,15,2016.707959,9.9634101,25.95942638,1,2403,1,1,0
71,恒大城,125.297803,43.953206,3506634.366,9000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,70,2.29,0.311,4114,1,0,0,0,1,2476,0,0,6,19,3,0,0,0,0,0,2017,10,1,2019,10,30,12,1244.25,3.666666667,3.666666667,0
72,吴中北国之春,125.394485,43.958627,3950003.685,14000,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70.00000009,1.600000003,0.31,1200,0,1,0,0,1.49E-06,400,0,0,0,0,0,0,0,0,0,0,2017,8,13,2017,10,26,12,1159.166667,1.666666667,1.666666667,0
